 586.68205  589.15837  591.66283  583.77834  586.23015  588.70972  580.85917  583.28647  585.74116  588.73622  591.31304  593.92709  585.81219  588.36342  590.95139  582.87269  585.39833  587.96023  590.90586  593.58683  596.31364  587.96028  590.61453  593.31404  584.99925  587.62677  590.29898
 586.10152  588.65528  591.24583  583.09405  585.62161  588.18547  580.06891  582.57026  585.10741  588.25175  590.90863  593.61084  585.22223  587.85176  590.52601  582.17502  584.77718  587.42347  590.51871  593.28233  596.09949  587.46585  590.20091  592.98881  584.39530  587.10177  589.86041
 585.49888  588.13090  590.80771  582.38744  584.99150  587.63974  579.25670  581.83277  584.45243  587.74463  590.48229  593.27286  584.60934  587.31780  590.07847  581.45473  584.13397  586.86472  590.10845  592.95538  595.86302  586.94796  589.76440  592.64076  583.76813  586.55406  589.39911
 584.87431  587.58523  590.34843  581.65880  584.33993  587.07261  578.42291  581.07422  583.77638  587.21506  590.03407  592.91306  583.97383  586.76173  589.60881  580.71220  583.46897  586.28411  589.67521  592.60592  595.60413  586.40684  589.30507  592.26989  583.11806  585.98379  588.91520
 584.22799  587.01832  589.86789  580.90850  583.66714  586.48419  577.56795  580.29488  583.07940  586.66312  589.56389  592.53132  583.31598  586.18367  589.11708  579.94777  582.78235  585.68174  589.21903  592.23388  595.32266  585.84275  588.82306  591.87627  582.44538  585.39114  588.40877
 583.56007  586.43016  589.36604  580.13677  582.97321  585.87450  576.69217  579.49494  582.36163  586.08895  589.07178  592.12758  582.63601  585.58370  588.60333  579.16175  582.07431  585.05776  588.74003  591.83932  595.01854  585.25588  588.31849  591.45990  581.75040  584.77634  587.87994
 582.87074  585.82082  588.84289  579.34388  582.25828  585.24361  575.79585  578.67457  581.62318  585.49273  588.55782  591.70180  581.93416  584.96202  588.06759  578.35443  581.34506  584.41224  588.23834  591.42221  594.69176  584.64642  587.79143  591.02084  581.03335  584.13950  587.32880
 582.16018  585.19039  588.29840  578.53016  581.52261  584.59167  574.87941  577.83411  580.86426  584.87455  588.02202  591.25398  581.21071  584.31876  587.51003  577.52616  580.59482  583.74543  587.71406  590.98255  594.34220  584.01467  587.24203  590.55916  580.29459  583.48085  586.75551
 581.42853  584.53891  587.73259  577.69578  580.76625  583.91873  573.94305  576.97365  580.08498  584.23459  587.46439  590.78404  580.46584  583.65399  586.93060  576.67716  579.82371  583.05733  587.16727  590.52036  593.96983  583.36071  586.67035  590.07485  579.53427  582.80051  586.16011
 580.67604  583.86650  587.14550  576.84109  579.98943  583.22491  572.98719  576.09350  579.28554  583.57301  586.88506  590.29206  579.69983  582.96794  586.32948  575.80777  579.03202  582.34820  586.59817  590.03577  593.57473  582.68486  586.07662  589.56810  578.75275  582.09876  585.54286
 579.90284  583.17325  586.53717  575.96626  579.19230  582.51031  572.01206  575.19382  578.46606  582.88997  586.28412  589.77808  578.91287  582.26073  585.70676  574.91824  578.21993  581.61816  586.00685  589.52879  593.15682  581.98725  585.46090  589.03888  577.95023  581.37571  584.90379
 579.10913  582.45927  585.90766  575.07162  578.37507  581.77513  571.01798  574.27489  577.62677  582.18560  585.66162  589.24207  578.10522  581.53255  585.06253  574.00886  577.38764  580.86733  585.39342  588.99942  592.71611  581.26811  584.82331  588.48732  577.12696  580.63153  584.24304
 578.29513  581.72472  585.25704  574.15739  577.53793  581.01944  570.00524  573.33692  576.76781  581.46010  585.01766  588.68411  577.27711  580.78352  584.39692  573.07988  576.53532  580.09590  584.75808  588.44781  592.25268  580.52768  584.16405  587.91355  576.28321  579.86644  583.56080
