       nan        nan        nan        nan        nan        nan        nan        nan        nan 19308.99700        nan        nan        nan        nan        nan        nan        nan        nan 19306.27800 19263.79950        nan        nan        nan        nan        nan        nan        nan
19312.20300        nan        nan 19350.13100        nan        nan        nan        nan        nan 19309.48400 19267.00550        nan 19347.41200 19304.93350        nan        nan        nan        nan 19304.04350 19261.24400 19225.55150 19341.97150 19299.17200 19263.47950        nan        nan        nan
19315.90300 19273.42450        nan 19354.35150 19311.87300        nan 19386.13150 19343.65300        nan 19310.46250 19267.66300 19231.97050 19348.91100 19306.11150 19270.41900 19380.69100 19337.89150 19302.19900 19302.29650 19259.01500 19222.50300 19340.74500 19297.46350 19260.95150 19372.52500 19329.24350 19292.73150
19320.11050 19277.31100 19241.61850 19359.33950 19316.54000 19280.84750 19392.46000 19349.66050 19313.96800 19311.94450 19268.66300 19232.15100 19351.17350 19307.89200 19271.38000 19384.29400 19341.01250 19304.50050 19301.04500 19257.12200 19219.55050 19340.27400 19296.35100 19258.77950 19373.39450 19329.47150 19291.90000
19324.84050 19281.55900 19245.04700 19365.10950 19321.82800 19285.31600 19399.92100 19356.63950 19320.12750 19313.94100 19270.01800 19232.44650 19354.21000 19310.28700 19272.71550 19389.02150 19345.09850 19307.52700 19300.29900 19255.57700 19216.73100 19340.56800 19295.84600 19257.00000 19375.37950 19330.65750 19291.81150
19330.10950 19286.18650 19248.61500 19371.66900 19327.74600 19290.17450 19408.46400 19364.54100 19326.96950 19316.46750 19271.74550 19232.89950 19358.02700 19313.30500 19274.45900 19394.82200 19350.10000 19311.25400 19300.07500 19254.39800 19214.08650 19341.63450 19295.95750 19255.64600 19378.42950 19332.75250 19292.44100
19335.93500 19291.21300 19252.36700 19379.02200 19334.30000 19295.45400 19418.03850 19373.31650 19334.47050 19319.54250 19273.86550 19233.55400 19362.62950 19316.95250 19276.64100 19401.64600 19355.96900 19315.65750 19300.38750 19253.60700 19211.66250 19343.47450 19296.69400 19254.74950 19382.49100 19335.71050 19293.76600
19342.33400 19296.65700 19256.34550 19387.16850 19341.49150 19301.18000 19428.60100 19382.92400 19342.61250 19323.17900 19276.39850 19234.45400 19368.01350 19321.23300 19279.28850 19409.44600 19362.66550 19320.72100 19301.25100 19253.22400 19209.50250 19346.08550 19298.05850 19254.33700 19387.51800 19339.49100 19295.76950
19349.31900 19302.53850 19260.59400 19396.10200 19349.32150 19307.37700 19440.10550 19393.32500 19351.38050 19327.39100 19279.36400 19235.64250 19374.17400 19326.14700 19282.42550 19418.17750 19370.15050 19326.42900 19302.67850 19253.27000 19207.64800 19349.46150 19300.05300 19254.43100 19393.46500 19344.05650 19298.43450
19356.90350 19308.87650 19265.15500 19405.81300 19357.78600 19314.06450 19452.51350 19404.48650 19360.76500 19332.19100 19282.78250 19237.16050 19381.10050 19331.69200 19286.07000 19427.80100 19378.39250 19332.77050 19304.68450 19253.76850 19206.13950 19353.59400 19302.67800 19255.04900 19400.29450 19349.37850 19301.74950
19365.09550 19315.68700 19270.06500 19416.29000 19366.88150 19321.25950 19465.78950 19416.38100 19370.75900 19337.58900 19286.67300 19239.04400 19388.78350 19337.86750 19290.23850 19438.28300 19387.36700 19339.73800 19307.27850 19254.73800 19205.01050 19358.47300 19305.93250 19256.20500 19407.97250 19355.43200 19305.70450
19373.90300 19322.98700 19275.35800 19427.52100 19376.60500 19328.97600 19479.90500 19428.98900 19381.36000 19343.59250 19291.05200 19241.32450 19397.21050 19344.67000 19294.94250 19449.59450 19397.05400 19347.32650 19310.46750 19256.19650 19204.29250 19364.08550 19309.81450 19257.91050 19416.46950 19362.19850 19310.29450
19383.33200 19330.79150 19281.06400 19439.49400 19386.95350 19337.22600 19494.83100 19442.29050 19392.56300 19350.20700 19295.93600 19244.03200 19406.36900 19352.09800 19300.19400 19461.70600 19407.43500 19355.53100 19314.26150 19258.16100 19204.01300 19370.42350 19314.32300 19260.17500 19425.76050 19369.66000 19315.51200
19393.38400 19339.11300 19287.20900 19452.19500 19397.92400 19346.02000 19510.54300 19456.27200 19404.36800 19357.43850 19301.33800 19247.19000 19416.24950 19360.14900 19306.00100 19474.59750 19418.49700 19364.34900 19318.66350 19260.64500 19204.19600 19377.47450 19319.45600 19263.00700 19435.82250 19377.80400 19321.35500
19404.06400 19347.96350 19293.81550 19465.61400 19409.51350 19355.36550 19527.02200 19470.92150 19416.77350 19365.28900 19307.27050 19250.82150 19426.83900 19368.82050 19312.37150 19488.24700 19430.22850 19373.77950 19323.68000 19263.66250 19204.86150 19385.23000 19325.21250 19266.41150 19446.63800 19386.62050 19327.81950
19415.37000 19357.35150 19300.90250 19479.73900 19421.72050 19365.27150 19544.24750 19486.22900 19429.78000 19373.76100 19313.74350 19254.94250 19438.13000 19378.11250 19319.31150 19502.63850 19442.62100 19383.82000 19329.31100 19267.22300 19206.02700 19393.68000 19331.59200 19270.39600 19458.18850 19396.10050 19334.90450
19427.30550 19367.28800 19308.48700 19494.56050 19434.54300 19375.74200 19562.20600 19502.18850 19443.38750 19382.85550 19320.76750 19259.57150 19450.11050 19388.02250 19326.82650 19517.75600 19455.66800 19394.47200 19335.56050 19271.33650 19207.70800 19402.81550 19338.59150 19274.96300 19470.46100 19406.23700 19342.60850
19439.86950 19377.78150 19316.58550 19510.06900 19447.98100 19386.78500 19580.88100 19518.79300 19457.59700 19392.57450 19328.35050 19264.72200 19462.77400 19398.55000 19334.92150 19533.58600 19469.36200 19405.73350 19342.43150 19276.01300 19209.91850 19412.63100 19346.21250 19280.11800 19483.44300 19417.02450 19350.93000
