.4527e-0 .3949e-0 .1330e-0 .2038e-1 .8808e-3
.3291e-0 .2157e-1 .3413e-0 .2536e-0 .5454e-1
.1462e-0 .2033e-0 .2384e-1 .2117e-0 .3367e-0
.5171e-1 .1990e-0 .6345e-1 .8817e-1 .1260e-0
.1588e-1 .1097e-0 .1605e-0 .4811e-2 .1075e-0
.4540e-2 .4663e-1 .1393e-0 .9426e-1 .3908e-2
.1224e-2 .1686e-1 .7913e-1 .1292e-0 .4242e-1
.3227e-3 .5671e-2 .3622e-1 .9859e-1 .1000e-0
.8436e-4 .1780e-2 .1460e-1 .5520e-1 .9929e-1
.2139e-4 .5317e-3 .5262e-2 .2569e-1 .6566e-1
.5399e-5 .1567e-3 .1784e-2 .1085e-1 .3539e-1
.1324e-5 .4367e-4 .5608e-3 .4144e-2 .1622e-1  
