   36881.42000    37329.73900    37779.32150
   37328.59250    37778.69950    38230.04650
   37777.56050    38229.43200    38682.52000
   38228.30050    38681.91300    39136.72000
   38680.78950    39136.12000    39592.62150
   39135.00400    39592.02800    40050.20150
   39590.91950    40049.61500    40509.43600
   40048.51400    40508.85650    40970.30050
   40507.76250    40969.72800    41432.77200
   40968.64100    41432.20650    41896.82500
   41431.12600    41896.26600    42362.43600
   41895.19300    42361.88350    42829.58000
   42360.81700    42829.03300    43298.23200
   42827.97350    43297.69150    43768.36700
   43296.63850    43767.83300    44239.96050
   43766.78650    44239.43250    44712.98700
   44238.39250    44712.46500    45187.42100
   44711.43100    45186.90500    45663.23750
   45185.87700    45662.72700    46140.41000
   45661.70500    46139.90500    46618.91300
